    Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.35s
     Running `target/debug/user-auth-plugin`
[2025-12-10 00:05:24.910 INFO] 🟢 Logging initialized successfully
[2025-12-10 00:05:24.910 INFO] Connecting to Postgres at 127.0.0.1:5432/user_auth_plugin_dev
[2025-12-10 00:05:24.976 INFO] ✅ Postgres connected successfully
[2025-12-10 00:05:24.976 INFO] 🚀 Actix server running on http://0.0.0.0:5500
[2025-12-10 00:05:24.976 INFO] starting 12 workers
[2025-12-10 00:05:24.977 INFO] Actix runtime found; starting in Actix runtime
[2025-12-10 00:05:24.977 INFO] starting service: "actix-web-service-0.0.0.0:5500", workers: 12, listening on: 0.0.0.0:5500
[2025-12-10 00:05:27.520 INFO] [404] GET /health | 127.0.0.1 | 44.739µs
[2025-12-10 00:05:44.857 INFO] [401] POST /auth/register | 127.0.0.1 | 85.548µs
[2025-12-10 00:08:24.508 INFO] [200] POST /api/auth/register | 127.0.0.1 | 996.085349ms
[2025-12-10 00:08:24.614 INFO] [400] POST /api/auth/register | 127.0.0.1 | 4.237161ms
[2025-12-10 00:08:25.573 INFO] [400] POST /api/auth/register | 127.0.0.1 | 856.237869ms
[2025-12-10 00:08:25.675 INFO] [422] POST /api/auth/register | 127.0.0.1 | 198.925µs
[2025-12-10 00:08:25.777 INFO] [400] POST /api/auth/register | 127.0.0.1 | 233.637µs
[2025-12-10 00:08:25.879 INFO] [422] POST /api/auth/register | 127.0.0.1 | 202.71µs
[2025-12-10 00:08:25.981 INFO] [401] POST /api/auth/register | 127.0.0.1 | 75.07µs
[2025-12-10 00:09:32.060 INFO] [200] POST /api/auth/register | 127.0.0.1 | 905.616001ms
[2025-12-10 00:09:32.166 INFO] [400] POST /api/auth/register | 127.0.0.1 | 4.278214ms
[2025-12-10 00:09:33.065 INFO] [400] POST /api/auth/register | 127.0.0.1 | 796.079603ms
[2025-12-10 00:09:33.167 INFO] [422] POST /api/auth/register | 127.0.0.1 | 195.176µs
[2025-12-10 00:09:33.269 INFO] [400] POST /api/auth/register | 127.0.0.1 | 272.619µs
[2025-12-10 00:09:33.371 INFO] [422] POST /api/auth/register | 127.0.0.1 | 225.794µs
[2025-12-10 00:09:33.473 INFO] [401] POST /api/auth/register | 127.0.0.1 | 70.844µs
[2025-12-10 00:09:35.354 INFO] [200] POST /api/auth/register | 127.0.0.1 | 815.378961ms
[2025-12-10 00:09:36.251 INFO] [200] POST /api/auth/login | 127.0.0.1 | 794.827917ms
[2025-12-10 00:09:37.182 INFO] [200] POST /api/auth/login | 127.0.0.1 | 828.27187ms
[2025-12-10 00:09:38.090 INFO] [401] POST /api/auth/login | 127.0.0.1 | 806.128362ms
[2025-12-10 00:09:38.258 INFO] [401] POST /api/auth/login | 127.0.0.1 | 66.288228ms
[2025-12-10 00:09:38.360 INFO] [400] POST /api/auth/login | 127.0.0.1 | 226.694µs
[2025-12-10 00:09:38.464 INFO] [401] POST /api/auth/login | 127.0.0.1 | 2.195801ms
[2025-12-10 00:09:38.566 INFO] [401] POST /api/auth/login | 127.0.0.1 | 74.43µs
[2025-12-10 00:09:40.272 INFO] [200] POST /api/auth/register | 127.0.0.1 | 893.711679ms
[2025-12-10 00:09:41.181 INFO] [200] POST /api/auth/login | 127.0.0.1 | 806.675669ms
[2025-12-10 00:09:41.286 INFO] [200] POST /auth/logout | 127.0.0.1 | 2.982152ms
[2025-12-10 00:09:41.388 INFO] [401] POST /auth/logout | 127.0.0.1 | 71.195µs
[2025-12-10 00:09:41.489 INFO] [401] POST /auth/logout | 127.0.0.1 | 115.068µs
[2025-12-10 00:09:41.595 INFO] [200] POST /auth/logout | 127.0.0.1 | 3.258446ms
[2025-12-10 00:09:43.185 INFO] [200] POST /api/auth/register | 127.0.0.1 | 839.238893ms
[2025-12-10 00:09:44.263 INFO] [200] POST /api/auth/login | 127.0.0.1 | 975.66314ms
[2025-12-10 00:09:44.365 INFO] [401] POST /api/auth/refresh | 127.0.0.1 | 84.912µs
[2025-12-10 00:09:44.467 INFO] [401] POST /api/auth/refresh | 127.0.0.1 | 92.321µs
[2025-12-10 00:09:44.569 INFO] [401] POST /api/auth/refresh | 127.0.0.1 | 103.219µs
[2025-12-10 00:09:44.671 INFO] [401] POST /api/auth/refresh | 127.0.0.1 | 79.305µs
[2025-12-10 00:09:45.424 INFO] [401] POST /api/auth/register | 127.0.0.1 | 99.929µs
[2025-12-10 00:09:45.526 INFO] [401] POST /api/auth/login | 127.0.0.1 | 109.205µs
[2025-12-10 00:09:45.628 INFO] [401] POST /auth/verify | 127.0.0.1 | 148.728µs
[2025-12-10 00:09:46.253 INFO] [401] POST /api/auth/register | 127.0.0.1 | 134.057µs
[2025-12-10 00:09:46.356 INFO] [401] POST /api/auth/login | 127.0.0.1 | 117.07µs
[2025-12-10 00:09:46.458 INFO] [401] GET /users | 127.0.0.1 | 149.439µs
[2025-12-10 00:09:47.118 INFO] [401] POST /api/auth/register | 127.0.0.1 | 120.145µs
[2025-12-10 00:09:47.221 INFO] [401] POST /api/auth/register | 127.0.0.1 | 86.894µs
[2025-12-10 00:09:47.323 INFO] [401] POST /api/auth/register | 127.0.0.1 | 89.598µs
[2025-12-10 00:09:47.425 INFO] [401] POST /api/auth/login | 127.0.0.1 | 94.474µs
[2025-12-10 00:09:47.527 INFO] [401] GET /users/all | 127.0.0.1 | 147.992µs
[2025-12-10 00:09:48.239 INFO] [401] POST /api/auth/register | 127.0.0.1 | 107.709µs
[2025-12-10 00:09:48.342 INFO] [401] POST /api/auth/register | 127.0.0.1 | 97.591µs
[2025-12-10 00:09:48.444 INFO] [401] POST /api/auth/login | 127.0.0.1 | 95.652µs
[2025-12-10 00:09:48.546 INFO] [401] PUT /users | 127.0.0.1 | 127.691µs
[2025-12-10 00:09:49.238 INFO] [401] POST /api/auth/register | 127.0.0.1 | 131.758µs
[2025-12-10 00:09:49.341 INFO] [401] POST /api/auth/login | 127.0.0.1 | 127.746µs
[2025-12-10 00:09:49.443 INFO] [401] DELETE /users | 127.0.0.1 | 117.925µs
[2025-12-10 00:09:50.165 INFO] [401] POST /api/auth/register | 127.0.0.1 | 89.047µs
[2025-12-10 00:09:50.267 INFO] [401] POST /api/auth/login | 127.0.0.1 | 98.396µs
[2025-12-10 00:09:50.369 INFO] [401] PUT /users/details | 127.0.0.1 | 118.048µs
[2025-12-10 00:09:51.181 INFO] [401] POST /api/auth/register | 127.0.0.1 | 87.387µs
[2025-12-10 00:09:51.283 INFO] [401] POST /api/auth/login | 127.0.0.1 | 87.937µs
[2025-12-10 00:10:26.422 INFO] [200] POST /api/auth/register | 127.0.0.1 | 877.334796ms
[2025-12-10 00:10:26.528 INFO] [400] POST /api/auth/register | 127.0.0.1 | 4.344788ms
[2025-12-10 00:10:27.424 INFO] [400] POST /api/auth/register | 127.0.0.1 | 794.303301ms
[2025-12-10 00:10:27.526 INFO] [422] POST /api/auth/register | 127.0.0.1 | 233.91µs
[2025-12-10 00:10:27.629 INFO] [400] POST /api/auth/register | 127.0.0.1 | 175.273µs
[2025-12-10 00:10:27.731 INFO] [422] POST /api/auth/register | 127.0.0.1 | 190.891µs
[2025-12-10 00:10:27.833 INFO] [401] POST /api/auth/register | 127.0.0.1 | 84.7µs
[2025-12-10 00:10:30.664 INFO] [200] POST /api/auth/register | 127.0.0.1 | 808.457129ms
[2025-12-10 00:10:31.553 INFO] [200] POST /api/auth/login | 127.0.0.1 | 787.771612ms
